LIQRESOR,REALPROP,WRK_POOR,RAWNET,FSNONCIT,FSTANF,FSERNDED,SHELDED,CERTHHSZ,HWGT,FSSLTDE2,FSGRINC,FSEARN,FSSTDDE2,FSTOTDE2,FSTOTDED,RAWERND,FSUNEARN,TANF_IND,FSNELDER,TPOV,FSSLTDED,FSDIS,FSASSET,FSERNDE2,FSWAGES,FSUSIZE,FSSSI,FSNETINC,FSGA,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,0.0,0.0,370.0,0.0,0.0,0.0,119.0,2.0,826.0282440535424,119.0,623.0,0.0,201.0,253.0,253.0,0.0,623.0,0.0,1.0,57.0,119.0,0.0,0.0,0.0,0.0,2.0,247.0,370.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1.0,743.1708434696594,0.0,231.0,0.0,134.0,134.0,134.0,0.0,231.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,231.0,1.0,1.0,0.0
210.0,0.0,1.0,1166.0,0.0,0.0,325.0,0.0,3.0,1084.9357846450434,0.0,1625.0,1625.0,134.0,459.0,459.0,325.0,0.0,0.0,0.0,117.0,0.0,0.0,210.0,325.0,1625.0,3.0,0.0,1166.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1.0,743.1708434696594,0.0,231.0,0.0,134.0,134.0,134.0,0.0,231.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,231.0,1.0,1.0,0.0
0.0,0.0,0.0,714.0,1.0,294.0,0.0,250.0,7.0,1029.4897706171243,250.0,1150.0,0.0,279.0,436.0,436.0,0.0,1150.0,1.0,0.0,46.0,250.0,1.0,0.0,0.0,0.0,7.0,523.0,714.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,705.4012962642041,0.0,100.0,0.0,100.0,100.0,134.0,0.0,100.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,151.0,0.0,0.0,0.0,337.0,1.0,761.6452408870326,337.0,623.0,0.0,201.0,471.0,471.0,0.0,623.0,0.0,0.0,76.0,337.0,1.0,2.0,0.0,0.0,1.0,25.0,152.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,647.0,0.0,326.0,246.0,417.0,5.0,958.3204150285828,417.0,1557.0,1231.0,162.0,910.0,910.0,246.0,326.0,1.0,0.0,80.0,417.0,0.0,0.0,274.0,1231.0,5.0,0.0,647.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,231.0,0.0,417.0,1.0,711.655694960853,97.0,231.0,0.0,0.0,231.0,551.0,0.0,231.0,1.0,0.0,28.0,417.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1.0,743.1708434696594,0.0,231.0,0.0,134.0,134.0,134.0,0.0,231.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,231.0,1.0,1.0,0.0
